,network_type,cv,weight_decay,refit,num_train_ksr,num_test_ksr,AUPRC,AUROC,MCC,F1,ACC,TP,TN,FP,FN,train_loss,val_loss,val_r2,activation,drop_p_prior,drop_p_kki,drop_p_ksr
42,cpd,1,1e-10,9,96729,24379,0.23622078880058406,0.7029251874346795,0.2170283600211895,0.24159106318406354,0.6493110192138304,18707.0,198757.0,111779.0,5672.0,0.015116437624853391,0.01491032432143887,0.7802492380142212,ReLU0,0,0,0
43,weight,1,1e-10,9,96729,24379,0.10595174945897513,0.4971091753159408,0.0031725939697846194,0.06429732608330063,0.8669154228855721,1147.0,216317.0,10152.0,23232.0,0.015116437624853391,0.01491032432143887,0.7802492380142212,ReLU0,0,0,0
44,cpd,2,1e-10,,96616,24492,0.2286446030973275,0.7046384082291102,0.21630618800794194,0.2318606069133718,0.6240286498088865,19774.0,197690.0,126302.0,4718.0,0.020611943390506964,0.019334981373200815,0.7190669178962708,ReLU0,0,0,0
45,weight,2,1e-10,,96616,24492,0.11127641832901802,0.499360678641552,0.23728568258958987,0.2024442763677243,0.5298378549587632,24491.0,192973.0,192970.0,1.0,0.020611943390506964,0.019334981373200815,0.7190669178962708,ReLU0,0,0,0
46,cpd,2,1e-10,0,96616,24492,0.20132571348718786,0.6403254726384855,0.16872318995498542,0.21973195720648078,0.6566596309414887,16010.0,201454.0,105221.0,8482.0,0.019713432528078556,0.01894032893081506,0.730565220117569,ReLU0,0,0,0
47,weight,2,1e-10,0,96616,24492,0.10184188972290838,0.48433715054545734,0.008186171201227655,0.11679756777299215,0.7958717610891524,3688.0,213776.0,34972.0,20804.0,0.019713432528078556,0.01894032893081506,0.730565220117569,ReLU0,0,0,0
48,cpd,2,1e-10,1,96616,24492,0.20892623178275402,0.6559521306583675,0.1801616373879134,0.22477076554895264,0.653468916774845,16718.0,200746.0,107546.0,7774.0,0.017915485283503167,0.017900528386235237,0.7605260213216146,ReLU0,0,0,0
49,weight,2,1e-10,1,96616,24492,0.11663437564689245,0.5037681391786624,0.025093794359889267,0.10677035681610247,0.847759983782688,2334.0,215130.0,16894.0,22158.0,0.017915485283503167,0.017900528386235237,0.7605260213216146,ReLU0,0,0,0
50,cpd,2,1e-10,2,96616,24492,0.214902768769375,0.6698226495650326,0.19262604337478467,0.23149978627911946,0.6539680630319069,17331.0,200133.0,107905.0,7161.0,0.017274809643053092,0.016578949832667906,0.749920497337977,ReLU0,0,0,0
51,weight,2,1e-10,2,96616,24492,0.11855450259165604,0.5045270977929595,0.025286605147218463,0.09977935768570728,0.85553772070626,2035.0,215429.0,14263.0,22457.0,0.017274809643053092,0.016578949832667906,0.749920497337977,ReLU0,0,0,0
52,cpd,2,1e-10,3,96616,24492,0.2159407926878908,0.6720768849335264,0.1948606034434039,0.23195330492098368,0.6520229550074658,17525.0,199939.0,109091.0,6967.0,0.01627953114131322,0.016463353143384058,0.762003630399704,ReLU0,0,0,0
53,weight,2,1e-10,3,96616,24492,0.11991498616798485,0.5050296988689489,0.02598565034853987,0.09659998478740398,0.8592188703846382,1905.0,215559.0,13044.0,22587.0,0.01627953114131322,0.016463353143384058,0.762003630399704,ReLU0,0,0,0
54,cpd,2,1e-10,4,96616,24492,0.21361147063049482,0.6617228042989698,0.18608066602171852,0.22806123133477332,0.6539483971853011,16999.0,200465.0,107583.0,7493.0,0.016082441577544578,0.01601710046331088,0.7732523580392202,ReLU0,0,0,0
55,weight,2,1e-10,4,96616,24492,0.12094098453513447,0.5052598825970133,0.026218579861947353,0.09312418300653595,0.8624321837621752,1781.0,215683.0,11977.0,22711.0,0.016082441577544578,0.01601710046331088,0.7732523580392202,ReLU0,0,0,0
56,cpd,2,1e-10,5,96616,24492,0.21851552577909228,0.6742785517885361,0.1976197166273872,0.23490473569021308,0.6561425105905355,17495.0,199969.0,106967.0,6997.0,0.01574512979445549,0.015651518789430458,0.7726179758707682,ReLU0,0,0,0
57,weight,2,1e-10,5,96616,24492,0.12250189230878979,0.5058441386528727,0.027594357467732294,0.09150466614969115,0.86487776359276,1711.0,215753.0,11194.0,22781.0,0.01574512979445549,0.015651518789430458,0.7726179758707682,ReLU0,0,0,0
58,cpd,2,1e-10,6,96616,24492,0.21730085223626805,0.6734737997706159,0.19778921903098617,0.2347052131432778,0.6553634177360151,17536.0,199928.0,107402.0,6956.0,0.015478169115690084,0.016149380554755528,0.7799085577329,ReLU0,0,0,0
59,weight,2,1e-10,6,96616,24492,0.12325257436696142,0.5060375898219059,0.02805585929357975,0.09017992629525255,0.8662523900573614,1664.0,215800.0,10748.0,22828.0,0.015478169115690084,0.016149380554755528,0.7799085577329,ReLU0,0,0,0
60,cpd,2,1e-10,7,96616,24492,0.21484556189854676,0.6682729077701588,0.1937556932402136,0.2325612594664574,0.6552627059146119,17335.0,200129.0,107252.0,7157.0,0.01572245667473628,0.014974169743557772,0.7787173390388489,ReLU0,0,0,0
61,weight,2,1e-10,7,96616,24492,0.12372109427206114,0.506052785102031,0.028055299676432388,0.08844601828213786,0.8675275560395898,1611.0,215853.0,10326.0,22881.0,0.01572245667473628,0.014974169743557772,0.7787173390388489,ReLU0,0,0,0
62,cpd,2,1e-10,8,96616,24492,0.21830613696457743,0.6750211065587179,0.19917379760741652,0.23489366228551295,0.6539306989345931,17666.0,199798.0,108259.0,6826.0,0.015545396205897514,0.014844260178506374,0.7794101536273956,ReLU0,0,0,0
63,weight,2,1e-10,8,96616,24492,0.12352373519202885,0.5057554783604773,0.027191702361387515,0.0862666777620593,0.8684491124378507,1555.0,215909.0,10004.0,22937.0,0.015545396205897514,0.014844260178506374,0.7794101536273956,ReLU0,0,0,0
64,cpd,2,1e-10,9,96616,24492,0.21958945448446548,0.6732651632658743,0.19707079024506785,0.23386296259285166,0.6540959198712647,17552.0,199912.0,108061.0,6940.0,0.015370011902772464,0.015171127393841743,0.7762172222137451,ReLU0,0,0,0
65,weight,2,1e-10,9,96616,24492,0.12348682233121117,0.505612006982866,0.02677418443389156,0.08478510108777719,0.8691849891883466,1516.0,215948.0,9753.0,22976.0,0.015370011902772464,0.015171127393841743,0.7762172222137451,ReLU0,0,0,0
66,cpd,3,1e-10,,96990,24118,0.264872663704653,0.7463081036308197,0.2366876472958558,0.24073514512717514,0.6329639611514789,20316.0,200684.0,124349.0,3802.0,0.020622454583644867,0.02090359665453434,0.7097328901290894,ReLU0,0,0,0
67,weight,3,1e-10,,96990,24118,0.11028369904479446,0.5062390869610457,0.23359283135346537,0.1967868536786364,0.5288574286521075,24118.0,196882.0,196882.0,0.0,0.020622454583644867,0.02090359665453434,0.7097328901290894,ReLU0,0,0,0
68,cpd,3,1e-10,0,96990,24118,0.2310941441201067,0.6790050490471772,0.19078672582641007,0.22664179550327596,0.6548128746285197,17071.0,203929.0,109454.0,7047.0,0.01916895226503794,0.018441838833192985,0.737266351779302,ReLU0,0,0,0
69,weight,3,1e-10,0,96990,24118,0.08522712421522437,0.4556604843462646,-0.028370106906142445,0.08674363691674755,0.7780512105561482,2994.0,218006.0,41919.0,21124.0,0.01916895226503794,0.018441838833192985,0.737266351779302,ReLU0,0,0,0
70,cpd,3,1e-10,1,96990,24118,0.2451956032132799,0.7076441446000853,0.214764243351712,0.23715607811928402,0.6502658439773907,18476.0,202524.0,113219.0,5642.0,0.017427974093991976,0.01710113448401292,0.7707394858201345,ReLU0,0,0,0
71,weight,3,1e-10,1,96990,24118,0.07821781326809814,0.4740657417174213,-0.04094913233742712,0.043145311916324244,0.8435629656772933,924.0,220076.0,17790.0,23194.0,0.017427974093991976,0.01710113448401292,0.7707394858201345,ReLU0,0,0,0
72,cpd,3,1e-10,2,96990,24118,0.24506831832777698,0.7107688374992773,0.217607834873971,0.23882609812483946,0.6508997732159161,18595.0,202405.0,113007.0,5523.0,0.016984523560565252,0.016219685630251963,0.7548846503098806,ReLU0,0,0,0
73,weight,3,1e-10,2,96990,24118,0.07847929810584889,0.47931835619825724,-0.03732347940723926,0.03779866321800814,0.8546909383423636,738.0,220262.0,14193.0,23380.0,0.016984523560565252,0.016219685630251963,0.7548846503098806,ReLU0,0,0,0
